Brand,count,avg_price,avg_cc,avg_year
Abarth,5,37493.8,1368.0,2019.6
Alfa Romeo,11,49282.545454545456,1988.7272727272727,2017.4545454545455
Aston Martin,2,235120.0,5569.5,2015.0
Audi,518,52605.02702702703,2159.2123552123553,2016.3011583011582
BMW,480,56373.0,2365.577083333333,2016.05625
Bentley,7,181405.42857142858,5705.142857142857,2011.2857142857142
Chery,2,8749.5,1971.0,2011.5
Chevrolet,7,145833.85714285713,6162.0,2020.7142857142858
Chrysler,42,35253.59523809524,4603.738095238095,2012.642857142857
Citroen,13,24233.384615384617,1707.5384615384614,2014.4615384615386
Cupra,5,62334.2,1866.2,2022.0
Dodge,14,13836.214285714286,3195.4285714285716,2012.2142857142858
FPV,2,91490.0,4492.0,2010.0
Fiat,17,20448.529411764706,1975.0588235294117,2014.764705882353
Ford,1490,36091.15234899329,2882.532214765101,2014.9825503355705
Foton,4,18972.0,2776.0,2014.75
GWM,29,38250.793103448275,1790.7586206896551,2021.896551724138
Genesis,1,64888.0,3342.0,2019.0
Great Wall,27,12300.851851851852,2089.814814814815,2014.7777777777778
HSV,37,74036.16216216216,5855.1621621621625,2012.0
Haval,7,32565.285714285714,1832.7142857142858,2020.2857142857142
Hino,1,46500.0,4009.0,2018.0
Holden,1505,23343.577408637873,3099.5056478405318,2012.9514950166113
Honda,413,23326.01937046005,1901.498789346247,2014.0726392251815
Hyundai,1087,27240.91260349586,1963.7433302667894,2016.1766329346826
Infiniti,9,32747.777777777777,2593.0,2015.888888888889
Isuzu,267,42962.95131086143,2994.876404494382,2017.3520599250937
Iveco,1,52990.0,2287.0,2019.0
Jaguar,38,61976.39473684211,2587.184210526316,2016.078947368421
Jeep,379,39098.10290237467,3263.2928759894457,2015.467018469657
Kia,744,30301.614247311827,2181.8615591397847,2017.141129032258
LDV,122,37798.69672131148,2311.27868852459,2020.5901639344263
Lamborghini,3,452923.3333333333,4398.666666666667,2018.3333333333333
Land Rover,273,64485.18681318681,2587.135531135531,2015.6923076923076
Lexus,180,50281.566666666666,2731.261111111111,2014.9444444444443
MG,97,24967.536082474227,1480.278350515464,2020.8659793814434
Mahindra,1,13990.0,2179.0,2016.0
Maserati,8,84859.75,3194.0,2015.25
Mazda,1167,29900.79177377892,2304.2639245929736,2016.0025706940874
Mercedes-Benz,625,63490.8528,2516.6816,2015.288
Mini,66,34974.30303030303,1759.030303030303,2015.5151515151515
Mitsubishi,1074,28923.222532588454,2389.463687150838,2015.306331471136
Mitsubishi Fuso,1,24900.0,3907.0,2007.0
Nissan,1008,26919.916666666668,2508.0803571428573,2014.2232142857142
Opel,4,11838.25,1728.5,2012.25
Peugeot,45,27627.066666666666,1599.9333333333334,2016.6444444444444
Porsche,91,153987.83516483515,3370.4725274725274,2014.8021978021977
Proton,1,11990.0,1560.0,2014.0
Ram,23,105055.95652173914,5538.086956521739,2019.5217391304348
Renault,158,34400.5253164557,1767.5379746835442,2018.7151898734178
Saab,2,8435.0,1991.5,2002.0
Skoda,160,37865.675,1697.65625,2018.75
Smart,1,13990.0,999.0,2013.0
Ssangyong,11,25287.363636363636,2200.6363636363635,2016.090909090909
Subaru,655,28556.45496183206,2322.697709923664,2014.9770992366412
Suzuki,160,18956.24375,1531.3,2015.13125
Toyota,2768,40719.68099710983,2678.73338150289,2015.41112716763
Volkswagen,1019,38100.7634936212,1976.6859666339549,2016.4808635917566
Volvo,161,52159.48447204969,2095.080745341615,2017.4223602484471
