Fuel,Type,count,avg_price,avg_cc
Diesel,Bus,17,42243.17647058824,2925.6470588235293
Diesel,Cab Chassis,296,33184.11148648649,2924.824324324324
Diesel,Cab Chassis Tray,1,23990.0,2776.0
Diesel,Cabriolet,3,29958.666666666668,2362.3333333333335
Diesel,Club Cab Chassis,5,32760.0,2440.0
Diesel,Club Cab Pickup,3,40593.333333333336,2440.0
Diesel,Club Cab Utility,3,20315.0,2477.0
Diesel,Coil Cab Chassis,3,31925.333333333332,3358.3333333333335
Diesel,Convertible,1,43990.0,1995.0
Diesel,Coupe,52,45315.61538461538,2390.153846153846
Diesel,Crew Cab Chassis,76,32946.02631578947,2784.0526315789475
Diesel,Crew Cab Pickup,255,35158.686274509804,2767.913725490196
Diesel,Crew Cab Utility,178,43900.68539325843,2959.938202247191
Diesel,Crew Cab Van,1,73990.0,2143.0
Diesel,Crew Van,5,41689.4,2548.6
Diesel,Double Cab Chassis,95,87074.93684210526,3725.536842105263
Diesel,Double Cab Pick Up,417,62485.570743405275,2558.8585131894483
Diesel,Double Cab Utility,200,29186.09,2448.78
Diesel,Dual Cab Chassis,72,35699.48611111111,2631.5555555555557
Diesel,Dual Cab Pick-up,387,34495.974160206715,2728.2196382428942
Diesel,Dual Cab Utility,619,42556.89660743134,2722.843295638126
Diesel,Estate,3,53593.333333333336,2078.6666666666665
Diesel,Freestyle Cab Chassis,11,29238.909090909092,3196.0
Diesel,Freestyle Utility,3,40595.0,3196.0
Diesel,Hardtop,2,26383.5,3470.0
Diesel,Hatchback,86,16542.058139534885,1892.6511627906978
Diesel,King Cab Pick Up,1,55990.0,2298.0
Diesel,King Cab Pickup,8,22744.75,2464.25
Diesel,King Cab Utility,1,51990.0,2298.0
Diesel,Leaf Cab Chassis,4,26976.25,3257.0
Diesel,Liftback,1,11990.0,1968.0
Diesel,Pickup,2,15995.0,2726.0
Diesel,Saloon,3,100896.0,2945.6666666666665
Diesel,Sedan,113,24557.33628318584,2133.097345132743
Diesel,Softback,1,7900.0,1951.0
Diesel,Space Cab Chassis,22,37786.27272727273,2887.5
Diesel,Space Cab Pickup,6,33624.0,2776.0
Diesel,Space Cab Utility,10,46068.7,2999.0
Diesel,Sportswagon,3,20990.0,1970.0
Diesel,Super Cab Chassis,19,30404.63157894737,3030.157894736842
Diesel,Super Cab Utility,23,42190.86956521739,2978.304347826087
Diesel,Troop Carrier,6,71140.66666666667,4461.0
Diesel,Utility,12,20644.0,2275.9166666666665
Diesel,Van,309,35883.517799352754,2329.4239482200646
Diesel,Wagon,2726,46861.46991929567,2592.082538517975
Diesel,X Cab Cab Chassis,8,38988.75,2748.875
Diesel,X Cab Pickup,10,38275.5,2913.3
Diesel,X Cab Utility,5,50973.0,2753.0
Diesel/Electric,Sportback,1,117900.0,2967.0
