"Brand","Year","Price","Fuel"
"Toyota","2010","9999","Unleaded Petrol"
"Mercedes-Benz","2021","117990","Diesel"
"Mercedes-Benz","2021","79990","Diesel"
"Mercedes-Benz","2010","34990","Diesel"
"Holden","2016","15990","Unleaded Petrol"
"Nissan","2017","26800","Unleaded Petrol"
"Ford","2016","23990","Diesel"
"BMW","2011","18990","Premium Unleaded Petrol"
"Isuzu","2015","15490","Diesel"
"Ford","2013","12490","Unleaded Petrol"
"Hyundai","2013","13500","Unleaded Petrol"
"Hyundai","2020","39880","Unleaded Petrol"
"Hyundai","2010","10500","Unleaded Petrol"
"Volkswagen","2015","27490","Diesel"
"Hyundai","2016","27490","Diesel"
"Lexus","2013","25990","Premium Unleaded Petrol"
"Mercedes-Benz","2021","79990","Diesel"
"Mercedes-Benz","2021","73990","Diesel"
"Mazda","2012","7000","Unleaded Petrol"
"Audi","2014","21990","Diesel"
"Nissan","2017","28990","Unleaded Petrol"
"Holden","2019","30990","Premium Unleaded Petrol"
"Holden","2019","32990","Premium Unleaded Petrol"
"Subaru","2016","24990","Diesel"
"Toyota","2017","24990","Unleaded Petrol"
"Mercedes-Benz","2011","36990","Diesel"
"Mitsubishi","2015","20990","Diesel"
"Toyota","2018","74990","Diesel"
"Ford","2017","37975","Diesel"
"Holden","2018","49999","Diesel"
"Mitsubishi","2018","31990","Unleaded Petrol"
"Kia","2011","12990","Unleaded Petrol"
"Toyota","2012","17990","Unleaded Petrol"
"Skoda","2018","42880","Premium Unleaded Petrol"
"Toyota","2018","81990","Diesel"
"Holden","2016","34990","Diesel"
"Ford","2012","23990","Diesel"
"Mitsubishi","2017","42888","Diesel"
"Ford","2014","29990","Diesel"
"Nissan","2018","37800","Unleaded Petrol"
"BMW","2018","59990","Premium Unleaded Petrol"
"Volkswagen","2015","38999","Premium Unleaded Petrol"
"Renault","2014","18999","Premium Unleaded Petrol"
"Toyota","2020","119985","Diesel"
"Nissan","2012","19990","Diesel"
"Audi","2014","35850","Diesel"
"Nissan","2015","30990","Diesel"
"Nissan","2022","66888","Diesel"
"Porsche","2012","49990","Premium Unleaded Petrol"
"Toyota","2021","169990","Diesel"
"Toyota","2013","32499","Diesel"
"Toyota","2017","20990","Unleaded Petrol"
"Toyota","2018","79990","Diesel"
"Mitsubishi","2013","27999","Diesel"
"Toyota","2021","83990","Diesel"
"Mazda","2022","60999","Unleaded Petrol"
"Kia","2015","32998","Unleaded Petrol"
"Holden","2017","33990","Diesel"
"Nissan","2012","12990","Unleaded Petrol"
"Hyundai","2019","22980","Unleaded Petrol"
"Porsche","2010","129900","Premium Unleaded Petrol"
"Volkswagen","2016","59990","Diesel"
"Toyota","2022","31990","Unleaded Petrol"
"Mitsubishi","2021","65880","Diesel"
"Ford","2014","28990","Diesel"
"Ford","2016","38990","Diesel"
"Toyota","2021","85000","Diesel"
"Isuzu","2017","24880","Diesel"
"Honda","2012","14999","Unleaded Petrol"
"Kia","2013","15990","Unleaded Petrol"
"Nissan","2017","38990","Diesel"
"Ford","2016","45981","Diesel"
"Toyota","2017","19999","Unleaded Petrol"
"Ford","2015","44880","Unleaded Petrol"
"Toyota","2016","37975","Diesel"
"Subaru","2017","27990","Unleaded Petrol"
"Kia","2019","41990","Unleaded Petrol"
"Nissan","2022","41888","Diesel"
"Toyota","2018","59990","Diesel"
"Ssangyong","2013","10990","Diesel"
"Audi","2016","83888","Premium Unleaded Petrol"
"Isuzu","2016","38990","Diesel"
"Nissan","2022","64490","Diesel"
"Toyota","2017","31990","Premium Unleaded/Electric"
"Volkswagen","2019","45981","Premium Unleaded Petrol"
"BMW","2014","27990","Diesel"
"Toyota","2017","36480","Unleaded Petrol"
"Nissan","2022","64500","Diesel"
"Volvo","2019","52990","Premium Unleaded Petrol"
"Nissan","2013","18990","Diesel"
"Mazda","2022","76999","Unleaded Petrol"
"Hyundai","2012","14999","Unleaded Petrol"
"Ford","2013","29980","Unleaded Petrol"
"Toyota","2020","47990","Diesel"
"Mercedes-Benz","2017","41490","Diesel"
"Lexus","2012","24980","Premium Unleaded Petrol"
"Mercedes-Benz","2011","28950","Diesel"
"Holden","2014","21990","Unleaded Petrol"
"Jeep","2012","31990","Premium Unleaded Petrol"
"Toyota","2013","20990","Unleaded Petrol"
"Land Rover","2012","48900","Diesel"
"Mitsubishi","2012","10000","Unleaded Petrol"
"Jeep","2012","13995","Premium Unleaded Petrol"
"Subaru","2010","21990","Unleaded Petrol"
"Mazda","2014","20990","Unleaded Petrol"
"Mitsubishi","2015","38990","Diesel"
"Volkswagen","2017","35995","Diesel"
"Mitsubishi","2015","29880","Diesel"
"Jeep","2013","14880","Premium Unleaded Petrol"
"Hyundai","2021","55990","Premium Unleaded Petrol"
"Toyota","2018","35990","Diesel"
"Audi","2022","60114","Premium Unleaded Petrol"
"Mercedes-Benz","2016","61800","Premium Unleaded Petrol"
"Toyota","2011","16996","Unleaded Petrol"
"MG","2021","27990","Unleaded Petrol"
"Mitsubishi","2019","48990","Diesel"
"Jeep","2013","28990","Unleaded Petrol"
"Ford","2019","75400","Diesel"
"Hyundai","2016","25981","Unleaded Petrol"
"Land Rover","2017","31990","Diesel"
"Toyota","2017","22990","Unleaded Petrol"
"Mitsubishi","2016","19500","Unleaded Petrol"
"Volkswagen","2019","34913","Diesel"
"Honda","2019","34000","Unleaded Petrol"
"Suzuki","2018","26000","Unleaded Petrol"
"Toyota","2019","50990","Unleaded Petrol/Electric"
"Hyundai","2016","25000","Unleaded Petrol"
"Mazda","2012","14888","Unleaded Petrol"
"Mazda","2018","34000","Unleaded Petrol"
"Renault","2018","34490","Premium Unleaded Petrol"
"Mazda","2016","35490","Diesel"
"BMW","2016","77500","Premium Unleaded Petrol"
"Mitsubishi","2012","17990","Unleaded Petrol"
"Toyota","2015","24500","Unleaded Petrol"
"Isuzu","2015","31990","Diesel"
"Suzuki","2014","15990","Unleaded Petrol"
"Mitsubishi","2019","29990","Unleaded Petrol"
"Mitsubishi","2019","28990","Unleaded Petrol"
"Land Rover","2010","68900","Diesel"
"Ram","2020","110990","Unleaded Petrol"
"Kia","2015","28870","Diesel"
"Honda","2020","33970","Unleaded Petrol"
"Renault","2014","10500","Unleaded Petrol"
"BMW","2013","14999","Diesel"
"Volkswagen","2020","46990","Premium Unleaded Petrol"
"Hyundai","2019","31500","Unleaded Petrol"
"Volkswagen","2022","65960","Premium Unleaded Petrol"
"Mitsubishi","2018","33880","Diesel"
"Holden","2016","27190","Diesel"
"Holden","2018","16766","Unleaded Petrol"
"Hyundai","2016","27990","Premium Unleaded Petrol"
"Toyota","2018","122900","Diesel"
"Toyota","2014","12499","Unleaded Petrol"
"Mazda","2010","16990","Unleaded Petrol"
"Toyota","2018","32980","Unleaded Petrol"
"Nissan","2018","49990","Diesel"
"Jeep","2012","12990","Premium Unleaded Petrol"
"Ford","2018","36990","Diesel"
"Toyota","2017","30998","Unleaded Petrol"
"Holden","2012","6000","Unleaded Petrol"
"Ford","2015","38500","Diesel"
"Jeep","2012","22980","Diesel"
"Mitsubishi","2017","42990","Diesel"
"Volkswagen","2013","18795","Premium Unleaded Petrol"
"Hyundai","2014","31299","Diesel"
"Suzuki","2014","10000","Unleaded Petrol"
"Volkswagen","2011","13000","Diesel"
"Mini","2021","63000","Premium Unleaded Petrol"
"Holden","2013","35000","Diesel"
"Toyota","2016","28800","Unleaded Petrol/Electric"
"Mazda","2012","10000","Unleaded Petrol"
"Mitsubishi","2018","27500","Unleaded Petrol"
"Mercedes-Benz","2014","33500","Premium Unleaded Petrol"
"Ford","2021","30988","Premium Unleaded Petrol"
"Toyota","2017","29500","Unleaded Petrol"
"Hyundai","2015","13750","Unleaded Petrol"
"Volvo","2011","14900","Premium Unleaded Petrol"
"Toyota","2013","35000","Diesel"
"Nissan","2012","13500","Unleaded Petrol"
"Nissan","2012","17000","Diesel"
"Jeep","2017","26500","Unleaded Petrol"
"Toyota","2014","32000","Unleaded Petrol"
"Holden","2013","8990","Unleaded Petrol"
"Honda","2015","16790","Unleaded Petrol"
"Land Rover","2010","27990","Diesel"
"Jeep","2010","16999","Unleaded Petrol"
"Hyundai","2019","33000","Diesel"
"Mazda","2019","35500","Unleaded Petrol"
"Lexus","2018","124999","Premium Unleaded Petrol"
"Land Rover","2021","98500","Premium Unleaded Petrol"
"Ford","2021","40000","Premium Unleaded Petrol"
"Suzuki","2012","13990","Unleaded Petrol"
"Holden","2013","22999","Unleaded Petrol"
"Holden","2013","20990","Diesel"
"Kia","2012","19888","Diesel"
"Mitsubishi","2016","38990","Diesel"
"Ford","2021","82990","Diesel"
"Jaguar","2012","94800","Premium Unleaded Petrol"
"Holden","2015","36000","Diesel"
"Jaguar","2021","171888","Premium Unleaded Petrol"
"Holden","2015","32750","Diesel"
"Toyota","2014","38890","Diesel"
"Audi","2015","26000","Diesel"
"Ford","2021","72990","Diesel"
"Toyota","2018","24490","Unleaded Petrol"
"Volkswagen","2018","50990","Diesel"
"Toyota","2020","91990","Diesel"
"Mercedes-Benz","2011","16990","Premium Unleaded Petrol"
"Land Rover","2013","35990","Diesel"
"Lexus","2013","22490","Premium Unleaded Petrol"
"Mitsubishi","2019","25990","Unleaded Petrol"
"Volkswagen","2021","85888","Diesel"
"Mercedes-Benz","2020","79800","Diesel"
"Kia","2019","42500","Diesel"
"LDV","2018","29990","Diesel"
"Toyota","2015","94987","Diesel"
"Kia","2017","24480","Unleaded Petrol"
"Mitsubishi","2016","24990","Unleaded Petrol"
"Ford","2018","69990","Diesel"
"Nissan","2018","49990","Diesel"
"Ford","2020","49990","Diesel"
"Mazda","2022","47988","Unleaded Petrol"
"Mazda","2022","63888","Unleaded Petrol"
"Volkswagen","2018","44999","Diesel"
"Toyota","2018","55975","Diesel"
"Land Rover","2012","71990","Diesel"
"Toyota","2018","53990","Unleaded Petrol"
"Hyundai","2019","24999","Unleaded Petrol"
"Mazda","2016","21000","Unleaded Petrol"
"Jeep","2015","28500","Unleaded Petrol"
"Nissan","2010","32500","Diesel"
"Ford","2014","28990","Diesel"
"Ford","2015","44990","Unleaded Petrol"
"Toyota","2015","29999","Diesel"
"Hyundai","2018","42980","Premium Unleaded Petrol"
"Mercedes-Benz","2019","110900","Premium Unleaded Petrol"
"Mazda","2022","66880","Unleaded Petrol"
"Toyota","2019","66490","Diesel"
"Hyundai","2022","52307","Diesel"
"Hyundai","2022","50307","Diesel"
"Toyota","2019","39888","Premium Unleaded/Electric"
"Skoda","2022","36440","Premium Unleaded Petrol"
"Jeep","2014","43999","Unleaded Petrol"
"Ford","2019","66990","Diesel"
"Volkswagen","2010","17990","Premium Unleaded Petrol"
"Honda","2019","32990","Unleaded Petrol"
"Honda","2019","29990","Unleaded Petrol"
"Isuzu","2018","49990","Diesel"
"Kia","2018","31888","Unleaded Petrol"
