Price_num,CC_num,Fuel,Type,Brand
33888,1968,Premium Unleaded Petrol,Wagon,Volvo
68000,3993,Premium Unleaded Petrol,Sedan,Audi
15900,3956,Unleaded Petrol,Dual Cab Pick-up,Toyota
18995,1797,Unleaded Petrol,Hatchback,Hyundai
27910,1999,Unleaded Petrol,Sedan,Kia
15800,2359,Premium Unleaded Petrol,Wagon,Jeep
27999,2488,Unleaded Petrol,Wagon,Nissan
8800,2354,Unleaded Petrol,Wagon,Honda
22905,1999,Unleaded Petrol,Hatchback,Kia
69990,2967,Diesel,Dual Cab Utility,Volkswagen
11999,1396,Unleaded Petrol,Hatchback,Hyundai
22490,1998,Unleaded Petrol,Sedan,Mazda
64990,1968,Diesel,Dual Cab Utility,Volkswagen
24999,1498,Unleaded Petrol,Wagon,MG
104990,3956,Diesel,Wagon,Audi
23990,2488,Unleaded Petrol,Wagon,Nissan
16990,1984,Premium Unleaded Petrol,Coupe,Audi
68990,2967,Diesel,Dual Cab Utility,Volkswagen
24950,4664,Unleaded Petrol,Wagon,Toyota
29990,4164,Diesel,Wagon,Toyota
28850,2488,Unleaded Petrol,Wagon,Nissan
54990,3198,Diesel,Dual Cab Pick-up,Ford
9000,1591,Unleaded Petrol,Hatchback,Hyundai
79000,1991,Premium Unleaded Petrol,Wagon,Mercedes-Benz
34867,2488,Unleaded Petrol,Wagon,Mazda
25888,1999,Unleaded Petrol,Wagon,Kia
16990,1998,Unleaded Petrol,Sedan,Mazda
29990,2979,Premium Unleaded Petrol,Roadster,BMW
17754,2231,Diesel,Wagon,Holden
31690,2488,Unleaded Petrol,Sedan,Mazda
52990,3198,Diesel,Dual Cab Utility,Ford
4695,1399,Unleaded Petrol,Hatchback,Kia
52990,3198,Diesel,Super Cab Utility,Ford
28888,2497,Diesel,Van,Hyundai
39399,3604,Premium Unleaded Petrol,Wagon,Jeep
16888,1591,Unleaded Petrol,Hatchback,Hyundai
12499,1497,Unleaded Petrol,Hatchback,Toyota
29777,1997,Unleaded Petrol,Wagon,Mazda
17000,1995,Diesel,Wagon,BMW
27990,1999,Unleaded Petrol,Wagon,Kia
4996,1497,Unleaded Petrol,Hatchback,Toyota
65990,2753,Diesel,Double Cab Chassis,Toyota
11990,1999,Unleaded Petrol,Sedan,Mazda
21999,2488,Unleaded Petrol,Hatchback,Mazda
21000,2477,Diesel,Double Cab Utility,Mitsubishi
43696,1984,Premium Unleaded Petrol,Hatchback,Volkswagen
79888,2755,Diesel,Wagon,Toyota
39990,2298,Diesel,Dual Cab Utility,Nissan
